Calculators:HR Management,Salary Tools,SalaryExpert.com,http://www.salaryexpert.com/index.cfm?FuseAction=FreeSalaryTools.Dsp_FreeSalaryTools,,
Cases,HBS cases,,http://hbsp.harvard.edu/product/cases,,
Cases,North American Case Research Foundation,,http://nacra.net,,
Cases,Asian Business Case Centre,,http://www.asiacase.com,,
Cases,CasePlace.org,,http://www.caseplace.org,,
Cases,European Case Clearing House,,http://www.thecasecentre.org/educators/,,
Cases,Thunderbird ,(international cases),http://caseseries.thunderbird.edu,,
Cases,Stanford Business Cases,,https://gsbapps.stanford.edu/cases,,
Company Research,CNBC Company Search,,http://data.cnbc.com/quotes,,
Company Research,Company Insight Center,BusinessWeek,http://investing.businessweek.com/research/company/overview/overview.asp,,
Company Research,Cogmap,,http://www.cogmap.com,,
Company Research,Company Profiles Search,,http://www.ic.gc.ca/eic/site/cd-dgc.nsf/eng/home,,
Company Research,Doing Company Research,,http://www.loc.gov/rr/business/company/directories.html,,
Company Research,America’s Largest Private Companies,,http://www.forbes.com/largest-private-companies/,,
Company Research,Bloomberg BusinessWeek: Company Search,,http://investing.businessweek.com/research/common/symbollookup/symbollookup.asp,,
Company Research,Corporations Canada,,http://www.ic.gc.ca/eic/site/cd-dgc.nsf/eng/home,,
Company Research,Forbes Lists,,http://www.forbes.com/lists,,
Company Research,Fortune 500,,http://money.cnn.com/magazines/fortune/fortune500,,
Company Research,FT.com: Markets Data,,http://markets.ft.com/ft/markets/companyResearch.asp,,
Company Research,Industry Peer Group and Business Valuation Analytics,,http://www.infinancialsanalytics.com/Eurofin/analytics,,
Company Research,Industry Week 1000 ,"The world's 1,000 largest publicly-held manufacturing companies, based on revenue",http://www.industryweek.com/iwinprint/IW1000,,
Company Research,Kellysearch,,http://www.kellysearch.com,,
Company Research,Manta,,http://www.manta.com,,
Company Research,Mediaowners.com,,http://mediaowners.com,,
Company Research,Muckety: Interactive Map,must have JAVA,http://news.muckety.com/about-muckety,,
Company Research,Research RoundUp: Business Filings Databases ,provides links to corporate and business filing offices and their searchable databases of filings for all 50 states.,http://www.llrx.com/columns/roundup29.htm,,
Company Research,SCImago Journal & Country Rank,,http://www.scimagojr.com,,
Company Research,Small Business Administration,,http://www.sba.gov,,
Company Research,The Official Board,,http://theofficialboard.com,,
