65816,kathryns,,
68186,lazear,,
68421,mlray,,
66771,seenu,,
64631,sgren,,
64901,sorensen,,
67066,pfeff,,
69131,woodyp,,
69141,woodyp,,
69151,woodyp,,
65996,jphills,,
64496,jgwatson,,
64496,,D.,Fylstra
64496,,L.,Lasdon
64496,,A.,Waren
64926,pauloyer,,
66871,dbm,,
66876,dbm,,
66926,dbm,,
66926,,C.,Weinberg
66931,dbm,,
66931,,B.,Clark
66936,dbm,,
66936,,J.,Urbany
66836,enthoven,,
69286,fpj1,,
69291,fpj1,,
69881,haulee,,
69876,haulee,,
64806,jlattin,,
68241,jmartin,,
64676,jroberts,,
68491,myras,,
66766,seenu,,
67201,wmeehan,,
68286,wmiller,,
66916,dbm,,
66916,,F.,Webster
66906,dbm,,
66001,jphills,,
70241,bobsut,,
70226,bobsut,,
70231,bobsut,,
70236,bobsut,,
66831,enthoven,,
66921,dbm,,
66921,hausmanw,,
69296,fpj1,,
68756,fwhang,,
68751,fwhang,,
68751,haulee,,
65821,kathryns,,
64861,kenneths,,
68496,myras,,
65936,pfleider,,
65936,admati,,
66696,seenu,,
66761,seenu,,
67206,wmeehan,,
67211,wmeehan,,
67216,wmeehan,,
69146,woodyp,,
69181,woodyp,,
70221,bobsut,,
70246,bobsut,,
66896,dbm,,
66901,dbm,,
67281,duffie,,
67281,,Rui,Kan
66351,elp,,
66381,fkessler,,
66386,fkessler,,
67011,huckabay,,
65841,jbulow,,
65841,,Paul ,Klemperer
67146,milgrom,,
67146,jroberts,,
66016,porras,,
66701,seenu,,
64626,sgren,,
65786,zwiebel,,
65791,zwiebel,,
68731,march,,
68396,hrowen,,
77516,deborahg,,
70251,bobsut,,
66646,athey,,
66646,,Armin,Schmutzler
66406,fkessler,,
69301,fpj1,,
68761,fwhang,,
68766,fwhang,,
64686,jroberts,,
64426,saloner,,
65796,zwiebel,,
68701,march,,
69171,woodyp,,
66826,enthoven,,
68211,hannan,,
64811,jlattin,,
67176,milgrom,,
65946,pfleider,,
70006,pfleider,,
70006,admati,,
66021,porras,,
64406,saloner,,
66756,seenu,,
67161,milgrom,,
69636,jcpet,,
64846,kenneths,,
64846,duffie,,
66806,enthoven,,
66461,krehbiel,,
70256,bobsut,,
66026,porras,,
66031,porras,,
66066,rwilson,,
67071,pfeff,,
68561,rhoward,,
70271,bobsut,,
70261,bobsut,,
70266,bobsut,,
66846,enthoven,,
66511,fbeaver,,
68771,fwhang,,
69566,itamars,,
68441,mlray,,
69201,woodyp,,
70276,bobsut,,
66911,dbm,,
70281,bobsut,,
65656,eporteus,,
66391,fkessler,,
64816,jlattin,,
64821,jlattin,,
67156,milgrom,,
65951,pfleider,,
66036,porras,,
70326,tbres,,
69161,woodyp,,
70301,bobsut,,
66466,krehbiel,,
69306,fpj1,,
67016,huckabay,,
69571,itamars,,
65401,jpatell,,
64696,jroberts,,
64701,jroberts,,
65956,pfleider,,
66751,seenu,,
68401,hrowen,,
68706,march,,
66841,enthoven,,
70306,bobsut,,
70286,bobsut,,
66516,fbeaver,,
68146,fwolfson,,
67021,huckabay,,
64826,jlattin,,
68556,rhoward,,
68406,hrowen,,
68721,march,,
70291,bobsut,,
70021,admati,,
67031,huckabay,,
65406,jpatell,,
64706,jroberts,,
67166,milgrom,,
65961,pfleider,,
68551,rhoward,,
70331,tbres,,
69176,woodyp,,
66041,porras,,
70311,bobsut,,
70316,bobsut,,
70296,bobsut,,
70026,admati,,
65271,flanagan,,
65411,jpatell,,
65416,jpatell,,
66746,seenu,,
70336,tbres,,
68446,mlray,,
70321,bobsut,,
67036,huckabay,,
66076,rwilson,,
64411,saloner,,
64416,saloner,,
69191,woodyp,,
65646,eporteus,,
68151,fwolfson,,
67026,huckabay,,
70161,mspence,,
64421,saloner,,
66741,seenu,,
65846,jbulow,,
65846,,Lawrence H.,Summers
65421,jpatell,,
65426,jpatell,,
65431,jpatell,,
70136,mspence,,
69156,woodyp,,
65276,flanagan,,
70166,mspence,,
69126,woodyp,,
64851,kenneths,,
64851,,L.,Hansen
65436,jpatell,,
65441,jpatell,,
67171,milgrom,,
70101,mspence,,
70146,mspence,,
66736,seenu,,
66586,mscholes,,
65446,jpatell,,
66436,mikehar,,
66581,mscholes,,
70106,mspence,,
70121,mspence,,
70141,mspence,,
70156,mspence,,
66821,enthoven,,
68536,jaedicke,,
70126,mspence,,
68546,rhoward,,
66591,mscholes,,
70111,mspence,,
66521,fbeaver,,
65456,jpatell,,
65451,jpatell,,
65451,fwolfson,,
66441,mikehar,,
70116,mspence,,
66731,seenu,,
67076,pfeff,,
65661,eporteus,,
66941,gparker,,
66596,mscholes,,
66726,seenu,,
68716,march,,
65461,jpatell,,
66721,seenu,,
70131,mspence,,
66946,gparker,,
66601,mscholes,,
66716,seenu,,
66711,seenu,,
68566,rhoward,,
65651,eporteus,,
66951,gparker,,
65386,rjoss,,
68571,rhoward,,
66526,fbeaver,,
68541,jaedicke,,
68696,march,,
68691,march,,
68411,hrowen,,
70151,mspence,,
76861,korteweg,,
80191,athey,,
80191,,Jonathan,Levin
80191,,Dominic,Coey
80076,athey,,
81261,huangsc,,
79056,ilyas1,,
79056,,Viral,Acharya
79056,,Sergei,Davydenko
79061,ilyas1,,
79061,,Sergei,Davydenko
79061,,Xiaofei,Zhao
79051,ilyas1,,
79051,,Baozhong ,Yang
79076,ilyas1,,
79076,,Toni M. ,Whited
79511,korteweg,,
75896,pauloyer,,
66366,emullen,,
66376,emullen,,
66361,emullen,,
66356,emullen,,
66371,emullen,,
68196,baron,,
68201,baron,,
68206,baron,,
68216,baron,,
64936,beshears,,
68826,byilmaz,,
68831,byilmaz,,
68836,byilmaz,,
68841,byilmaz,,
68846,byilmaz,,
67316,debram,,
67326,debram,,
67331,debram,,
67341,dhornik,,
67336,dhornik,,
69321,flohoy,,
69326,flohoy,,
69891,fwombat,,
69896,fwombat,,
69901,fwombat,,
69906,fwombat,,
69911,fwombat,,
68511,jhmoore,,
68516,jhmoore,,
68521,jhmoore,,
68526,jhmoore,,
68531,jhmoore,,
66981,kohanson,,
66986,kohanson,,
66991,kohanson,,
66996,kohanson,,
67001,kohanson,,
65921,ogneva,,
65926,ogneva,,
65931,ogneva,,
69711,sargent,,
69716,sargent,,
69721,sargent,,
69346,tla9,,
69351,tla9,,
68886,hrao,,
75631,monic,,
68881,sharique,,
69361,pbhenry,,
69366,pbhenry,,
69371,pbhenry,,
69376,pbhenry,,
69356,pbhenry,,
76216,hatfield,,
76221,hatfield,,
76226,hatfield,,
76231,hatfield,,
76286,hatfield,,
66281,ikremer,,
66286,ikremer,,
66296,ikremer,,
67976,jdenrell,,
67956,jdenrell,,
67991,jdenrell,,
67966,jdenrell,,
67936,jdenrell,,
67946,jdenrell,,
67986,jdenrell,,
67971,jdenrell,,
67951,jdenrell,,
67996,jdenrell,,
67961,jdenrell,,
67941,jdenrell,,
67981,jdenrell,,
75651,monic,,
75656,monic,,
69841,mwk,,
69846,mwk,,
69851,mwk,,
69856,mwk,,
69861,mwk,,
69521,promer,,
69526,promer,,
69531,promer,,
69536,promer,,
69541,promer,,
68786,oreillyn,,
68791,oreillyn,,
68796,oreillyn,,
70036,bmckern,,
70041,bmckern,,
70046,bmckern,,
70051,bmckern,,
69491,skumar,,
69496,skumar,,
69501,skumar,,
69506,skumar,,
69511,skumar,,
69516,skumar,,
77166,snagel,,
77221,snagel,,
77226,snagel,,
77231,snagel,,
77236,snagel,,
77241,snagel,,
77246,snagel,,
77411,snagel,,
68976,dragansk,,
68981,dragansk,,
68986,dragansk,,
68991,dragansk,,
68996,dragansk,,
65221,iguttman,,
65231,iguttman,,
65236,iguttman,,
65241,iguttman,,
65691,swinney,,
65696,swinney,,
65701,swinney,,
65706,swinney,,
65711,swinney,,
64431,,Stefan,Nagel
64431,,Malcom,Baker
64431,,Jeffrey,Wurgler
64986,,Ronald A.,Dye
